[2024-05-10 23:12:24.693]	     |  builder/pane_builder.sh   | 16 ++++++++--------
[2024-05-10 23:12:24.693]	     |  builder/window_builder.sh |  5 ++++-
[2024-05-10 23:12:24.693]	     |  2 files changed, 12 insertions(+), 9 deletions(-)
[2024-05-10 23:12:24.705]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-10 23:12:24.758]	 Done.

[2024-05-11 16:30:43.124]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
[2024-05-11 16:30:43.134]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-11 16:30:43.179]	 Already installed "tpm"
[2024-05-11 16:30:43.183]	 Already installed "tmux"
[2024-05-11 16:30:43.202]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-11 16:30:43.221]	 Updating all plugins!
[2024-05-11 16:30:43.221]	 
[2024-05-11 16:30:43.704]	   "tpm" update success
[2024-05-11 16:30:43.708]	     | Already up to date.
[2024-05-11 16:30:43.843]	   "tmux" update success
[2024-05-11 16:30:43.845]	     | From https://github.com/catppuccin/tmux
[2024-05-11 16:30:43.845]	     |    75ffbfe..804f060  main       -> origin/main
[2024-05-11 16:30:43.845]	     | Updating 75ffbfe..804f060
[2024-05-11 16:30:43.845]	     | Fast-forward
[2024-05-11 16:30:43.845]	     |  builder/window_builder.sh | 5 +----
[2024-05-11 16:30:43.845]	     |  1 file changed, 1 insertion(+), 4 deletions(-)
[2024-05-11 16:30:43.855]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-11 16:30:43.897]	 Done.

[2024-05-11 16:30:58.514]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
[2024-05-11 16:30:58.523]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-11 16:30:58.558]	 Already installed "tmux"
[2024-05-11 16:30:58.560]	 Already installed "tpm"
[2024-05-11 16:30:58.570]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-11 16:30:58.588]	 Updating all plugins!
[2024-05-11 16:30:58.589]	 
[2024-05-11 16:30:59.029]	   "tpm" update success
[2024-05-11 16:30:59.032]	     | Already up to date.
[2024-05-11 16:30:59.037]	   "tmux" update success
[2024-05-11 16:30:59.039]	     | Already up to date.
[2024-05-11 16:30:59.055]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-11 16:30:59.096]	 Done.

[2024-05-11 16:32:08.081]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
